,ds_name,og_fp_nodes,og_fn_nodes,og_ctc_fp_nodes,og_ctc_fn_nodes,og_ctc_ns_nodes,kit_fp_nodes,kit_fn_nodes,kit_ctc_fp_nodes,kit_ctc_fn_nodes,kit_ctc_ns_nodes,ultrack_fp_nodes,ultrack_fn_nodes,ultrack_ctc_fp_nodes,ultrack_ctc_fn_nodes,ultrack_ctc_ns_nodes,ultrack_fn_delta,kit_fn_delta,ultrack_fp_delta,kit_fp_delta,ultrack_ctc_fn_delta,kit_ctc_fn_delta,ultrack_ctc_fp_delta,kit_ctc_fp_delta,ultrack_ctc_ns_delta,kit_ctc_ns_delta
0,Fluo-N3DH-SIM+_01,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,0,0,0,1,0,0,0,1,0
1,Fluo-N3DH-SIM+_02,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,0,0,7,0,0,0,0,0
2,Fluo-C3DL-MDA231_01,0,13,0,13,0,5,12,7,12,2,0,19,0,18,1,6,-1,0,5,5,-1,0,7,1,2
3,Fluo-C3DL-MDA231_02,0,3,0,3,0,9,7,10,4,4,1,12,1,5,7,9,4,1,9,2,1,1,10,7,4
4,Fluo-N2DH-GOWT1_01,0,4,0,4,0,0,3,0,3,0,0,6,0,6,0,2,-1,0,0,2,-1,0,0,0,0
5,Fluo-N2DH-GOWT1_02,0,230,0,230,0,3,228,3,228,0,0,236,0,236,0,6,-2,0,3,6,-2,0,3,0,0
6,PhC-C2DH-U373_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,PhC-C2DH-U373_02,10,10,0,0,0,47,10,37,0,0,10,24,0,0,14,14,0,0,37,0,0,0,37,14,0
8,Fluo-N2DL-HeLa_01,0,37,0,37,0,58,33,62,34,3,2,70,2,57,13,33,-4,2,58,20,-3,2,62,13,3
9,Fluo-N2DL-HeLa_02,0,42,0,42,0,208,38,213,33,10,1,107,1,69,38,65,-4,1,208,27,-9,1,213,38,10
10,Fluo-C2DL-MSC_01,0,1,0,1,0,12,0,12,0,0,1,4,1,4,0,3,-1,1,12,3,-1,1,12,0,0
11,Fluo-C2DL-MSC_02,0,0,0,0,0,11,1,12,1,1,0,17,0,17,0,17,1,0,11,17,1,0,12,0,1
12,Fluo-C3DH-H157_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Fluo-C3DH-H157_02,0,0,0,0,0,2,2,2,0,2,1,19,1,19,0,19,2,1,2,19,0,1,2,0,2
14,DIC-C2DH-HeLa_01,0,16,0,16,0,14,15,14,13,2,0,34,0,27,7,18,-1,0,14,11,-3,0,14,7,2
15,DIC-C2DH-HeLa_02,0,42,0,42,0,1,51,5,40,15,0,53,0,51,2,11,9,0,1,9,-2,0,5,2,15
16,Fluo-N3DH-CHO_01,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0
17,Fluo-N3DH-CHO_02,0,0,0,0,0,5,0,5,0,0,0,5,0,5,0,5,0,0,5,5,0,0,5,0,0
18,BF-C2DL-MuSC_01,0,23,0,23,0,33,32,36,22,13,0,185,0,78,100,162,9,0,33,55,-1,0,36,100,13
19,BF-C2DL-MuSC_02,0,72,0,72,0,50,48,53,37,14,0,218,0,131,83,146,-24,0,50,59,-35,0,53,83,14
20,BF-C2DL-HSC_01,0,1,0,1,0,212,0,213,1,0,0,29,0,3,26,28,-1,0,212,2,0,0,213,26,0
21,BF-C2DL-HSC_02,0,2,0,2,0,2041,78,2061,21,77,0,86,0,9,77,84,76,0,2041,7,19,0,2061,77,77
22,Fluo-C3DH-A549_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Fluo-C3DH-A549_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Fluo-N2DH-SIM+_01,0,0,0,0,0,3,0,3,0,0,0,5,1,6,0,5,0,0,3,6,0,1,3,0,0
25,Fluo-N2DH-SIM+_02,0,0,0,0,0,4,0,4,0,0,4,15,5,13,3,15,0,4,4,13,0,5,4,3,0
26,PhC-C2DL-PSC_01,0,336,0,336,0,616,297,763,300,144,9,1391,9,404,939,1055,-39,9,616,68,-36,9,763,939,144
27,PhC-C2DL-PSC_02,0,29,0,29,0,351,115,366,23,107,4,421,4,36,366,392,86,4,351,7,-6,4,366,366,107
28,Fluo-N3DH-CE_01,0,17,0,17,0,820,326,825,20,311,19,234,20,31,202,217,309,19,820,14,3,20,825,202,311
29,Fluo-N3DH-CE_02,4,105,0,101,0,730,330,733,97,236,36,559,32,143,402,454,225,32,726,42,-4,32,733,402,236
30,Fluo-C3DH-A549-SIM_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Fluo-C3DH-A549-SIM_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
